trans_id,amount,balance,account,type,operation,characterization,bank,year,month,day,sex,first_name,last_name,phone,email,address,district_name,region,no_of_inhabitants,no_of_cities,ratio_of_urban_inhabitants,average_salary,amount_mean,amount_std,etiqueta_fraude
414315,31900.0,61709.1,,VYDAJ,VYBER,N/C,N/B,1997,December,365,Male,Emory,Lynn,475-466-9574,emory.lynn@gmail.com,929 Edgewood Street,Praha - vychod,central Bohemia,92084,5,46.7,10124,7131.821874,10057.39228,1
316146,27016.0,79273.3,1933414.0,PRIJEM,PREVOD Z UCTU,N/C,ST,1994,June,5,Female,Emilee,Mathis,865-737-9164,emilee.mathis@gmail.com,4 Halifax Street,Ostrava - mesto,north Moravia,323870,1,100.0,10673,7131.821874,10057.39228,1
110775,14.6,19646.9,,VYDAJ,VYBER,SLUZBY,N/B,1998,December,59,Female,Iris,Matthews,414-424-4747,iris.matthews@outlook.com,8580 Somerset Ave.,Louny,north Bohemia,85852,4,59.8,8965,7131.821874,10057.39228,0
437502,35110.0,73969.4,,PRIJEM,VKLAD,N/C,N/B,1998,December,165,Female,Estelle,Harding,601-808-3912,estelle.harding@gmail.com,8411 Grand Avenue,Vyskov,south Moravia,86513,5,50.5,8288,7131.821874,10057.39228,1
144968,4858.0,32714.6,,VYBER,VYBER,N/C,N/B,1998,December,211,Female,Lilliana,May,585-371-5009,lilliana.may@gmail.com,300 N. Court Dr.,Prerov,north Moravia,138032,5,64.6,8819,7131.821874,10057.39228,0
35406,14.6,21095.4,,VYDAJ,VYBER,SLUZBY,N/B,1997,December,334,Female,Kylie,Bailey,978-722-6846,kylie.bailey@gmail.com,16 NW. Rosewood Drive,Brno - venkov,south Moravia,157042,9,33.9,8743,7131.821874,10057.39228,0
21509,1011.0,71018.5,9098768.0,VYDAJ,PREVOD NA UCET,POJISTNE,OP,1995,December,343,Male,Camila,Flores,212-946-7532,camila.campbell@gmail.com,7100 Wintergreen Street,Hl.m. Praha,Prague,1204953,1,100.0,12541,7131.821874,10057.39228,0
10174,5446.0,27885.2,60448020.0,PRIJEM,PREVOD Z UCTU,DUCHOD,ST,1994,December,217,Male,Jayden,Baker,585-209-6726,jayden.baker4@gmail.com,38 Prairie Street,Prerov,north Moravia,138032,5,64.6,8819,7131.821874,10057.39228,0
794501,37996.0,107081.8,,PRIJEM,VKLAD,N/C,N/B,1997,December,269,Male,Forrest,Stevenson,508-913-7663,forrest.stevenson@hotmail.com,18 Lakewood Street,Trebic,south Moravia,117897,6,53.8,8814,7131.821874,10057.39228,1
87294,62.0,39220.6,31507086.0,VYDAJ,PREVOD NA UCET,SIPO,EF,1998,December,65,Male,Patrick,Gardner,676-023-8105,patrick.gardner@outlook.com,946 Garfield Road,Melnik,central Bohemia,94725,6,63.4,9920,7131.821874,10057.39228,0
656247,28100.0,34451.2,,VYDAJ,VYBER,N/C,N/B,1998,June,30,Male,Neel,Owens,207-668-9626,neel.owens@gmail.com,9847 Garfield St.,Melnik,central Bohemia,94725,6,63.4,9920,7131.821874,10057.39228,1
153171,15500.0,46455.9,,VYDAJ,VYBER,N/C,N/B,1997,December,344,Female,Phoebe,Sandoval,563-214-9433,phoebe.sandoval9@hotmail.com,69 Rosewood Ave.,Frydek - Mistek,north Moravia,228848,6,57.2,9893,7131.821874,10057.39228,0
118796,21759.0,69587.9,,PRIJEM,VKLAD,N/C,N/B,1997,December,121,Male,Zane,Hanson,212-451-6206,zane.hanson@gmail.com,6 Pine Rd.,Hl.m. Praha,Prague,1204953,1,100.0,12541,7131.821874,10057.39228,1
265773,17642.0,39595.1,,PRIJEM,VKLAD,N/C,N/B,1995,December,349,Female,Haylee,Mcguire,215-024-5413,haylee.mcguire@gmail.com,707 Pendergast St.,Uherske Hradiste,south Moravia,145688,5,40.7,8544,7131.821874,10057.39228,1
407889,22100.0,47798.8,,VYDAJ,VYBER,N/C,N/B,1995,December,177,Female,Sky,Schaefer,244-605-8042,sky.schaefer2@gmail.com,30 West Surrey Avenue,Rokycany,west Bohemia,45714,6,55.6,8843,7131.821874,10057.39228,1
155459,14.6,22473.7,,VYDAJ,VYBER,SLUZBY,N/B,1995,December,90,Female,Adrianna,Stanley,781-765-1330,adrianna.stanley@gmail.com,8949 Littleton Street,Prostejov,south Moravia,110643,4,51.9,8441,7131.821874,10057.39228,0
145071,100.0,16341.5,,VYDAJ,VYBER,SLUZBY,N/B,1994,December,120,Female,Lilliana,May,585-371-5009,lilliana.may@gmail.com,300 N. Court Dr.,Prerov,north Moravia,138032,5,64.6,8819,7131.821874,10057.39228,0
